model,source,beta_L_4xCO2,gamma_L_4xCO2,beta_L_2xCO2,gamma_L_2xCO2
ACCESS-ESM1-5,CMIP6,0.33308824289510514,-19.75793359525177,0.6781843967949983,-9.773156046181837
BCC-CSM2-MR,CMIP6,1.4241866284704114,-149.69870036481382,1.7183581950158302,-88.57084264329005
CanESM5,CMIP6,1.2950877856201124,17.06744773519155,1.4171132887523294,-5.086536156323833
CESM2,CMIP6,0.8929467859086552,-20.473513018248134,0.9695591050345157,-12.23552387210207
CNRM-ESM2-1,CMIP6,1.355566921250886,-85.34090402148307,1.3665514793655869,-51.900089031020244
GFDL-ESM4,CMIP6,0.909425131230436,-71.34015404515469,1.0691212410173263,-47.31339644683647
IPSL-CM6A-LR,CMIP6,0.5476140401585547,-3.7016190531458575,0.9428952029484866,-7.884895022965069
MIROC-ES2L,CMIP6,1.0958262865901398,-66.79750270669676,1.398631827824092,-55.103244602182
MPI-ESM1-2-LR,CMIP6,0.7068735807048021,-4.83482840464517,1.0640259301133528,-0.2720972657379229
NorESM2-LM,CMIP6,0.8397424630248027,-22.048616930197596,0.9408826981886365,-17.15923913210644
UKESM1-0-LL,CMIP6,0.7586053139963655,-36.77577313683657,1.0485603564784192,-26.633495924861244
EC-Earth3-CC,CMIP6+,0.5882431448420208,-6.545642272150447,0.8655884260523518,-18.021309954598326
CMCC-ESM2,CMIP6+,0.35763383034645874,-15.447896254906821,0.49807926860733026,-11.136230498776875
IPSL_Perm_LandN,Process ensembles,0.06825994402831599,-2.5611342031422755,0.11281556306893711,-0.2594296493905209
CNRM-ESM2-1,Process ensembles,1.355566914236889,-85.34090072053084,1.366551484460287,-51.90008883859762
CNRM-ESM2-2,Process ensembles,1.355566914236889,-85.34090072053084,1.366551484460287,-51.90008883859762
ACCESS-ESM_C,Process ensembles,1.0301858265825503,-111.83605968091611,1.565401921716402,-77.02020006761697
ACCESS-ESM_CN,Process ensembles,0.7613031423555225,-85.6435564586165,1.2962059512510677,-69.77584044909005
ACCESS-ESM_CNP,Process ensembles,0.3484593463270184,-20.859202635114045,0.708915880116943,-10.499496519826934
UKESM1-1_ctrl,Process ensembles,0.7519019370137425,-41.32766664030126,1.0365219572712858,-28.815910024264323
UKESM1-1_nodgvm,Process ensembles,0.5849899171647202,-44.604309901213874,0.8491160098396161,-30.059545720591316
UKESM1-1_nonlim,Process ensembles,1.239681623488967,-67.45926598410999,1.3925455758470322,-29.0478165715125
UKESM1-1_df,Process ensembles,0.7385940049787487,-43.71730481563087,0.9963451240766126,-28.94228806791291
UKESM1-1_bvoc,Process ensembles,0.7573898738500063,-38.91065178818534,1.047968235222553,-26.47100172603313
UKESM1-1_fire,Process ensembles,0.5727919882572527,-67.55053258619975,0.7885995626983306,-41.820301438219
UKESM1-1_wch4,Process ensembles,0.7462170048799446,-40.87385894260833,1.0359423954802194,-27.065096068628474
UKESM1-1_allprocs,Process ensembles,0.5469299992142465,-63.978707908986436,0.7231418474796881,-35.06289791529763
